A,B,C,D,E,F,G,H,I,J,K
20220101,46,1,1,3,4,3,2,5,2,誰が一番に着くか私には分かりません。
20220102,84,2,2,2,3,5,2,5,2,多くの動物が人間によって殺された。
20220103,70,1,3,3,5,1,4,3,3,私はテニス部員です。
20220104,90,3,3,5,1,1,4,5,5,エミは幸せそうに見えます。
20220105,57,2,3,5,5,2,4,1,5,この事実を覚えておいてください。
20220106,59,3,5,2,5,2,5,4,2,彼女は私たちの世話をしてくれる。
20220107,64,1,1,4,1,4,2,3,4,私たちは国際人になりたいと思います。
20220108,86,4,3,5,3,1,2,5,1,約束を破るべきではありません。
20220109,31,2,1,3,1,3,3,1,4,道路を渡る時は車に注意しなさい。
20220110,81,1,2,1,4,4,4,2,1,私には生きる上での価値がない。
20220111,82,2,5,5,5,2,2,2,1,父は私が外国へ行くことを許した。
20220112,96,5,3,5,5,1,2,1,3,お弁当食べたんでしょう。
20220113,76,5,3,2,3,5,2,1,1,彼の小説は１つも読んでいない。
20220114,84,4,5,3,1,3,4,4,5,彼はどこへ行ったらいいか分からなかった。
20220115,64,3,5,1,2,4,3,4,1,彼女は、母に少し似ている。
20220116,83,3,4,1,1,3,5,3,4,自分のことをダメだと考える人。
20220117,39,2,4,2,4,5,1,4,2,曇りの日です。
20220118,84,1,5,3,4,4,1,4,4,彼もそれを見た。
20220119,47,2,1,3,2,2,3,4,4,私は音楽が好きではありません。
20220120,67,3,2,2,5,2,3,3,5,それは本当のはずはない。
20220121,80,3,4,5,2,2,5,5,4,その仕事を担当しようかと思っている。
20220122,42,2,4,1,1,2,2,3,3,サッカーは日本で前よりも今、人気がある。
20220123,79,5,1,4,2,3,4,4,3,車がそんなに混んでなければ問題ないでしょう。
20220124,62,4,5,2,1,5,2,1,2,２時間も待った。
20220125,39,4,3,5,2,3,4,3,3,ボブは私の友達です。
20220126,66,4,5,3,5,4,1,1,2,気にしないようにしているんだ。
20220127,75,2,5,5,2,3,4,4,2,どうぞ午後に私の家へ来てください。
20220128,75,2,4,2,3,2,5,3,1,車でどれくらいかかりますか。
20220129,72,5,3,3,3,3,5,2,2,私は彼女が子供の頃から知っています。
20220130,77,5,2,5,5,4,1,5,2,言っておく物は何もありません。
20220131,69,1,5,4,4,2,5,2,1,もう夕食は食べ終わりましたか。
20220132,56,2,3,5,5,4,5,5,2,あなたの国では雪がたくさん降りますか。
20220133,43,1,5,4,3,2,4,4,5,彼はいつも父のいないところで悪いことを言います。
20220201,45,4,5,5,5,2,5,1,5,それについてどう思った。
20220202,62,2,2,5,1,4,3,5,2,対象に当たらなかった。
20220203,33,2,4,1,5,2,5,1,1,いい年してそんな馬鹿なことはやめろ。
20220204,64,1,4,3,1,2,4,2,3,彼女は大変忙しかった。
20220205,95,3,3,2,1,5,2,4,3,彼は危険をものともしない。
20220206,92,3,4,5,2,5,1,2,1,何時でしょうか。
20220207,32,1,1,3,5,4,1,5,4,彼女はもう少しで遅れるところだった。
20220208,78,3,4,1,4,2,2,5,3,とても好きです。
20220209,77,1,3,2,5,2,5,4,1,今のをもう１度言っていただける。
20220210,86,1,2,5,1,1,4,4,1,行きたい学校に入れてよかったね。
20220211,30,1,5,3,2,3,1,3,3,電話を切らずにそのまま待ってください。
20220212,48,2,4,1,3,1,4,1,1,彼女は時々お酒を飲む。
20220213,52,4,1,2,2,5,4,3,4,彼らはちゃんと私の顔を見られなかった。
20220214,73,3,5,4,4,2,1,4,5,彼の話はおかしく聞こえる。
20220215,80,2,3,5,1,2,3,4,4,彼女は自分の車を自慢している。
20220216,74,5,3,3,3,3,4,5,4,それは、あなたの声をよく聞くためだよ。
20220217,76,5,1,5,3,5,4,2,1,クラスの少年の数は３０人です。
20220218,36,5,2,5,1,2,4,2,5,明日は歴史の試験を受けなくてはならない。
20220219,58,1,3,5,5,4,4,5,1,私の計画に反対ですか。
20220220,43,4,1,3,3,4,3,5,5,１年分の自由に使えるお金を先にあげておく。
20220221,89,3,4,3,4,5,4,5,2,子供たちを学校に連れて行った。
20220222,62,3,3,5,3,5,4,3,2,怖がるな。
20220223,77,4,5,1,5,5,1,5,4,父は今家にいるだろう。
20220224,30,3,5,3,5,1,4,3,4,彼は前は思いのままにお金を使った。
20220225,79,2,1,3,2,2,5,5,5,私たちはロンドンでお互いを知った。
20220226,67,1,2,3,2,3,5,2,2,ここでは自由にしていいですよ。
20220227,63,1,1,4,1,4,4,3,4,これらの靴は私の物だ。
20220228,58,3,2,1,1,4,3,4,5,向こうに着いたら手紙をください。
20220301,33,5,4,1,3,3,1,4,3,１週間の休みをとった。
20220302,77,4,4,4,5,4,3,3,2,私は釣りに行くつもりだったのですが。
20220303,51,4,3,3,1,4,4,1,5,彼女は、少しの言葉もわからなかった。
20220304,34,1,3,3,4,3,4,1,3,何のことを言っているの？
20220305,80,3,1,5,3,3,1,2,2,彼は私を頼っている。
20220306,46,4,4,5,4,5,4,4,5,彼はアメリカの女性と結婚している。
20220307,49,2,4,3,4,3,4,2,2,猫は木を走って登った。
20220308,99,5,4,5,3,2,1,3,3,彼は何でも、知っているように見せる。
20220309,49,5,1,3,4,4,5,2,5,ジョンは駅の方へと歩いている。
20220310,49,4,5,2,5,2,2,2,1,そんなに怒る必要はない。
20220311,95,2,5,5,2,5,1,4,5,後で、すぐに電話するわ。
20220312,41,5,3,4,4,4,4,5,3,ケーキをもっと食べてください。
20220313,39,2,4,4,1,4,1,4,2,私には外国人の友達が二人います。
20220314,97,5,5,5,3,5,3,3,3,成功するつもりなら努力しなければならない。
20220315,79,5,4,4,5,5,1,5,5,この２つから選びなさい。
20220316,92,2,5,5,2,3,3,3,1,その家はかなり古くなっている。
20220317,30,5,3,3,3,4,1,3,1,私は大坂で生まれましたが、東京で生活しました。
20220318,88,4,4,5,2,1,3,3,3,月曜日までにこの仕事を終わらせてください。
20220319,96,1,2,5,4,2,2,2,5,あの家はまだ買う人がいない。
20220320,74,3,4,4,3,1,3,1,4,戦争が起こるかもしれない。
20220321,84,1,5,4,5,2,1,5,5,起きてみると彼女は病院にいた。
20220322,69,1,4,4,4,2,4,3,4,彼女は元気がなくなった。
20220323,94,4,2,2,3,2,4,5,5,それはこっちの言葉ですよ。
20220324,33,3,2,1,4,5,3,5,4,大阪にはどうやって行くんですか。
20220325,69,3,2,2,4,5,4,1,4,私は彼女の合格を喜んだ。
20220326,36,5,1,3,2,5,1,5,3,もっとゆっくり言ってください。
20220327,63,2,4,3,1,2,3,1,2,おそらく彼は彼女と結婚するだろう。
20220328,46,4,5,4,1,5,2,4,2,お会計してください。
20220329,59,5,4,2,2,2,3,3,3,私たちは上の方から叫ぶ声がするのを耳にした。
20220330,82,5,1,5,5,2,4,3,4,通りには多くの車が見える。
20220331,46,1,5,4,2,5,5,1,4,これらはあなたの物ですか。
20220401,56,4,5,5,3,4,1,1,3,次の年は会うことができるでしょう。
20220402,44,4,4,2,5,4,5,4,2,彼は金持ちだが頑張って働いている。
20220403,90,1,5,5,4,1,5,5,4,彼女は音楽の勉強をするためにイタリアへ行った。
20220404,50,4,2,4,2,1,3,4,1,どの犬も生きています。
20220405,30,2,3,3,3,4,5,2,4,彼女は彼の意見に反対するほど馬鹿ではない。
20220406,32,2,5,2,4,1,1,4,5,ただ見ているばかりだった。
20220407,79,4,2,4,3,2,4,1,1,私は追いつくためにできるだけ早く走った。
20220408,51,2,3,4,4,5,3,2,3,彼女の母は先週の木曜日から病気です。
20220409,88,1,1,5,4,5,1,2,5,彼女は英語の試験を受けた。
20220410,82,2,4,5,4,3,3,2,4,毎日朝犬の運動に公園を歩く。
20220411,83,2,4,4,2,1,4,1,2,バスはいつも時間と同じようにに来るとは限らない。
20220412,76,4,3,1,5,3,1,1,2,彼はその計画にとても関係があった。
20220413,44,1,5,1,4,4,4,3,3,夕食の用意は出来ていますか。
20220414,76,4,3,4,1,2,4,2,4,野菜をご自由にどうぞ。
20220415,32,5,1,3,1,1,3,3,3,その映画館は人々でいっぱいだった。
20220416,93,5,4,4,1,4,4,1,1,私はきっとテニスの試合に勝つと思う。
20220417,85,3,3,4,4,1,1,2,5,あなたの仕事の調子はどうだい。
20220418,59,5,5,4,4,4,4,5,2,後でお電話しましょうか。
20220419,69,3,5,5,2,1,3,1,3,自分の金で買ったのです。
20220420,50,4,5,5,3,4,4,3,3,私はトムに電話した。
20220421,51,2,2,1,2,3,5,1,1,彼はアメリカへ行きたいと思っています。
20220422,65,5,1,1,5,2,3,5,1,すみません。
20220423,62,5,2,2,1,5,3,4,3,風が止まった。
20220424,95,3,1,5,5,2,5,5,2,彼女は５日前から学校を休んでいます。
20220425,50,5,4,4,2,4,4,5,1,早く起きることはいいと思う。
20220426,52,5,5,3,3,1,1,4,2,もう少し。
20220427,93,2,5,5,2,1,3,3,1,電話でそのニュースを知らせてね。
20220428,70,5,1,5,3,4,2,5,5,彼のこの本は全く面白くありません。
20220429,72,2,3,4,5,4,1,5,3,針を持った虫に注意しろ。
20220430,55,5,3,1,4,2,4,3,4,長い間お待たせしてすみません。
20220501,45,4,2,3,4,2,3,2,1,彼は使いことができないほどのお金持ちだ。
20220502,33,2,5,4,3,5,2,3,1,ちゃんと朝の食事を食べて行け。
